Project,BugID,Class,GeneratedTests,GenerationSeconds,GenerationExitCode,BuggyCompile,FixedCompile,BuggyUTBotFails,FixedUTBotFails,UniqueBuggyFails,BugDetected,BuggyTestSeconds,FixedTestSeconds,DeveloperLinesCovered,DeveloperLinesTotal,DeveloperLineCoverage,DeveloperConditionsCovered,DeveloperConditionsTotal,DeveloperConditionCoverage,UTBotLinesCovered,UTBotLinesTotal,UTBotLineCoverage,UTBotConditionsCovered,UTBotConditionsTotal,UTBotConditionCoverage,CombinedLinesCovered,CombinedLinesTotal,CombinedLineCoverage,CombinedConditionsCovered,CombinedConditionsTotal,CombinedConditionCoverage,LineCoverageGain,ConditionCoverageGain,DeveloperCoverageSeconds,UTBotCoverageSeconds,CombinedCoverageSeconds,Status
Lang,27,org.apache.commons.lang3.math.NumberUtils,360,142.291,0,True,True,105,105,0,NO,17.477,15.774,366,374,97.9,309,352,87.8,300,374,80.2,225,352,63.9,370,374,98.9,317,352,90.1,1.0,2.3,19.217,8.695,19.243,COMPLETED
Lang,28,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,12,14.825,0,True,True,1,1,0,NO,16.29,16.057,20,20,100.0,14,14,100.0,17,20,85.0,12,14,85.7,20,20,100.0,14,14,100.0,0.0,0.0,19.624,7.335,19.271,COMPLETED
Lang,1,org.apache.commons.lang3.math.NumberUtils,499,153.195,0,True,True,118,118,0,NO,32.596,32.83,368,375,98.1,295,338,87.3,292,375,77.9,203,338,60.1,372,375,99.2,304,338,89.9,1.1,2.6,37.663,8.79,36.145,COMPLETED
Lang,3,org.apache.commons.lang3.math.NumberUtils,430,146.244,0,True,True,106,106,0,NO,34.213,34.292,366,373,98.1,291,334,87.1,287,373,76.9,192,334,57.5,370,373,99.2,301,334,90.1,1.1,3.0,38.499,9.152,37.51,COMPLETED
Lang,4,org.apache.commons.lang3.text.translate.LookupTranslator,27,50.608,0,True,True,0,0,0,ERROR,1.676,1.73,,,,,,,,,,,,,,,,,,,,,,,,TEST_COMPILE_INCOMPATIBLE
Lang,5,org.apache.commons.lang3.LocaleUtils,18,15.538,0,True,True,0,0,0,ERROR,1.639,1.533,,,,,,,,,,,,,,,,,,,,,,,,TEST_COMPILE_INCOMPATIBLE
Lang,6,org.apache.commons.lang3.text.translate.CharSequenceTranslator,85,176.072,0,True,True,0,0,0,ERROR,1.522,1.621,,,,,,,,,,,,,,,,,,,,,,,,TEST_COMPILE_INCOMPATIBLE
Lang,7,org.apache.commons.lang3.math.NumberUtils,467,162.87,0,True,True,104,105,0,NO,38.711,37.929,371,380,97.6,321,366,87.7,301,380,79.2,234,366,63.9,375,380,98.7,330,366,90.2,1.1,2.5,41.941,8.883,40.571,COMPLETED
Lang,9,org.apache.commons.lang3.time.FastDateParser,69,769.641,124,True,True,0,0,0,ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,GENERATION_TIMEOUT
Lang,10,org.apache.commons.lang3.time.FastDateParser,68,2564.949,124,True,True,0,0,0,ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,GENERATION_TIMEOUT
